python-markdown 3.4.4-1
python-markupsafe 2.1.3-1
python-pyqt6 6.5.2-1
python-pyqt6-sip 13.5.2-1
python-pyqt6-webengine 6.5.0-2
python-shtab 1.6.4-1
python-termcolor 2.3.0-1
python-tqdm 4.66.1-2
python-typing_extensions 4.8.0-1
python-yaml 6.0.1-2
qca-qt5 2.3.7-1
qt5-base 5.15.10+kde+r162-1
qt5-declarative 5.15.10+kde+r31-1
qt5-multimedia 5.15.10+kde+r3-1
qt5-speech 5.15.10+kde+r1-1
qt5-svg 5.15.10+kde+r8-1
qt5-translations 5.15.10-1
qt5-wayland 5.15.10+kde+r62-1
qt5-x11extras 5.15.10-1
qt6-base 6.5.2-1
qt6-declarative 6.5.2-2
qt6-positioning 6.5.2-1
qt6-translations 6.5.2-1
qt6-wayland 6.5.2-2
qt6-webchannel 6.5.2-1
qt6-webengine 6.5.2-3
qutebrowser 3.0.0-1
ranger 1.9.3-9
rav1e 0.6.6-1
readline 8.2.001-2
rhash 1.4.3-1
rnote 0.8.2-1
rofi-lbonn-wayland-git 1.7.5.wayland2.r149.g9d11a2b4-1
rtkit 0.13-2
sbc 2.0-1
scdoc 1.11.2-5
sdbus-cpp 1.3.0-1
sdl2 2.28.3-1
seatd 0.8.0-1
sed 4.9-3
shaderc 2023.4-2
shadow 4.14.0-4
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
smbclient 4.19.0-1
snappy 1.1.9-2
sndio 1.9.0-1
sof-firmware 2.2.6-1
solid5 5.110.0-1
sonnet5 5.110.0-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-11
spdlog 1.12.0-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.43.1-1
srt 1.5.3-1
startup-notification 0.12-8
sudo 1.9.14.p3-1
supertuxkart 1.4-5
svt-av1 1.7.0-1
swaybg 1.2.0-1
swayfx 0.3.2-1
swayfx-debug 0.3.2-1
swaylock 1.7.2-1
syndication5 5.110.0-1
